,anio,eleccion,partido,pais,puesto,votos,censo
244,2010,CmaraNegritudes,FUNDACIONLABORARPORCOLOMBIAFUNDALABOR,EGIPTO,ElCairoEmbajada,1,95
245,2010,CmaraNegritudes,FUNDACIONLABORARPORCOLOMBIAFUNDALABOR,ESPANA,BarcelonaConsulado,3,11766
246,2010,CmaraNegritudes,FUNDACIONLABORARPORCOLOMBIAFUNDALABOR,ESTADOSUNIDOS,MiamiSarasota,7,553
247,2010,CmaraNegritudes,FUNDACIONLABORARPORCOLOMBIAFUNDALABOR,PAISESBAJANTILLASHOLANDESAS,WillemstadCurazao,1,1148
248,2010,CmaraNegritudes,FUNDACIONLABORARPORCOLOMBIAFUNDALABOR,PANAMA,PanamaConsulado,1,6832
249,2010,CmaraNegritudes,FUNDACIONLABORARPORCOLOMBIAFUNDALABOR,REPUBLICADOMINICANA,SantoDomingoEmbajada,1,1558
250,2010,CmaraNegritudes,FUNDACIONLABORARPORCOLOMBIAFUNDALABOR,SUECIA,EstocolmoConsulado,1,507
251,2010,CmaraNegritudes,FUNDACIONLABORARPORCOLOMBIAFUNDALABOR,VENEZUELA,CaracasConsulado,14,28288
252,2010,CmaraNegritudes,FUNDACIONNARIENSESAFROCOLOMBIANOSFORJADORESDELFUTURO,AUSTRALIA,Brisbane,1,491
253,2010,CmaraNegritudes,FUNDACIONNARIENSESAFROCOLOMBIANOSFORJADORESDELFUTURO,VENEZUELA,MachiquesLaVilla,3,2430
254,2010,CmaraNegritudes,FUNDACIONNEGROSSINFRONTERASSINFRONTERAS,VENEZUELA,MachiquesConsulado,1,5099
255,2010,CmaraNegritudes,FUNDACIONPARAELDESARROLLODECOMUNIDADESAFROCOLOMBIANA,ECUADOR,StoDomingoColoradosConsu,2,2785
256,2010,CmaraNegritudes,FUNDACIONPARAELDESARROLLODECOMUNIDADESAFROCOLOMBIANA,ESTADOSUNIDOS,NuevaYorkQueens,1,14800
257,2010,CmaraNegritudes,FUNDACIONPARAELDESARROLLODECOMUNIDADESAFROCOLOMBIANA,VENEZUELA,CaracasConsulado,1,28288
258,2010,CmaraNegritudes,FUNDACIONPARAELDESARROLLOINTEGRALDELAFRODECENDIENTE,ESTADOSUNIDOS,HoustonConsulado,3,4786
