anio,elec,partido,nomcandi,nomdepto,votos,censo
2010,Presidencia1eravuelta,MOVIMIENTOAPERTURALIBERAL,JAIROCALDERNCARRERO,CHOCO,229,89720
2010,Presidencia1eravuelta,MOVIMIENTOAPERTURALIBERAL,JAIROCALDERNCARRERO,CONSULADOS,79,58633
2010,Presidencia1eravuelta,MOVIMIENTOAPERTURALIBERAL,JAIROCALDERNCARRERO,CORDOBA,612,281242
2010,Presidencia1eravuelta,MOVIMIENTOAPERTURALIBERAL,JAIROCALDERNCARRERO,CUNDINAMARCA,2391,747740
2010,Presidencia1eravuelta,MOVIMIENTOAPERTURALIBERAL,JAIROCALDERNCARRERO,GUAINIA,13,14047
2010,Presidencia1eravuelta,MOVIMIENTOAPERTURALIBERAL,JAIROCALDERNCARRERO,GUAVIARE,34,20522
2010,Presidencia1eravuelta,MOVIMIENTOAPERTURALIBERAL,JAIROCALDERNCARRERO,HUILA,597,248334
2010,Presidencia1eravuelta,MOVIMIENTOAPERTURALIBERAL,JAIROCALDERNCARRERO,LAGUAJIRA,178,125178
2010,Presidencia1eravuelta,MOVIMIENTOAPERTURALIBERAL,JAIROCALDERNCARRERO,MAGDALENA,401,187048
2010,Presidencia1eravuelta,MOVIMIENTOAPERTURALIBERAL,JAIROCALDERNCARRERO,META,414,162669
2010,Presidencia1eravuelta,MOVIMIENTOAPERTURALIBERAL,JAIROCALDERNCARRERO,NARINO,903,312117
2010,Presidencia1eravuelta,MOVIMIENTOAPERTURALIBERAL,JAIROCALDERNCARRERO,NORTEDESANTANDER,662,217024
2010,Presidencia1eravuelta,MOVIMIENTOAPERTURALIBERAL,JAIROCALDERNCARRERO,PUTUMAYO,433,107826
2010,Presidencia1eravuelta,MOVIMIENTOAPERTURALIBERAL,JAIROCALDERNCARRERO,QUINDIO,455,76812
2010,Presidencia1eravuelta,MOVIMIENTOAPERTURALIBERAL,JAIROCALDERNCARRERO,RISARALDA,679,105037
2010,Presidencia1eravuelta,MOVIMIENTOAPERTURALIBERAL,JAIROCALDERNCARRERO,SANTANDER,1095,384245
2010,Presidencia1eravuelta,MOVIMIENTOAPERTURALIBERAL,JAIROCALDERNCARRERO,SUCRE,391,213560
